,emission_co2e_co2_lndu_conversion_forests_secondary_to_croplands,emission_co2e_co2_lndu_conversion_forests_secondary_to_flooded,emission_co2e_co2_lndu_conversion_forests_secondary_to_grasslands,emission_co2e_co2_lndu_conversion_forests_secondary_to_other,emission_co2e_co2_lndu_conversion_forests_secondary_to_pastures,emission_co2e_co2_lndu_conversion_forests_secondary_to_settlements,emission_co2e_co2_lndu_conversion_forests_secondary_to_shrublands,emission_co2e_co2_lndu_conversion_forests_secondary_to_wetlands,emission_co2e_co2_lndu_conversion_pastures_to_croplands,emission_co2e_co2_lndu_conversion_pastures_to_settlements,emission_co2e_co2_lndu_conversion_shrublands_to_flooded,emission_co2e_co2_lndu_conversion_shrublands_to_other,emission_co2e_co2_lndu_conversion_shrublands_to_pastures,emission_co2e_co2_lndu_conversion_shrublands_to_settlements,emission_co2e_co2_lndu_conversion_shrublands_to_wetlands,emission_co2e_co2_lndu_conversion_wetlands_to_flooded,emission_co2e_co2_lndu_conversion_wetlands_to_other
3,0.0054177869970055,0.0115223513484315,8.00326615321767e-05,0.0047709720382403,0.1007771622042572,0.0611650396651289,0.0099591331874451,0.6180975277646249,2.4095902229416458e-06,0.0003092160475986,1.4409096997372088e-05,5.763466258574493e-05,0.0004922566158131,0.0002197125656535,0.0004246849196692,0.0012197892898924,8.479648504618157e-05
4,0.0048833810840668,0.0109014007418727,0.0,0.0063476543563915,0.0938861782143672,0.0505077309402511,0.012342445371435,0.7815896616026806,1.2888268566483788e-06,0.0002951433667099,3.568745927387878e-05,8.921722289654859e-05,0.0010981602039423,0.000331874568392,0.0018866569667604,0.00091196653127,5.223640292983759e-05
5,0.0052519064787211,0.0084204494811726,0.0,0.0042091288581693,0.0401522892661809,0.0224775011756925,0.0044362435626264,0.8528833638164216,8.077429584681759e-07,0.0002461868376915,0.0002116342285808,0.0001685960302883,0.0006101246671471,0.0004985854326117,0.0013063179071533,0.0007386616194019,6.637866913958915e-05
6,0.0038664830063437,0.0176276852487102,0.0,0.0039850151259053,0.036835457459725,0.0360918505084838,0.0037376152965848,0.7517722914433436,1.778070297828074e-06,0.0002660511740304,5.374959268170244e-05,6.808204794813257e-05,0.000452004609057,0.0003332271316294,0.0011746222483546,0.0011914419979919,7.176086346714935e-05
7,0.0043150338828586,0.018203593017308,5.773897640497132e-05,0.0017914241244512,0.065259913945693,0.0326000700293175,0.0126353708777866,0.630607758225084,4.527229566365614e-06,0.0002692127941272,3.947042003942806e-05,4.664443440437539e-05,0.0004286154456456,0.0005525492493217,0.0005726646308933,0.0020684789582802,7.417887806122951e-05
8,0.005853008710298,0.0233861773263066,0.0,0.0022840395576351,0.0747696458316502,0.032737473076056,0.0126360908547771,0.6138225041143947,7.605737790425491e-06,0.0002621303244865,0.0001550534606623,4.687365325624893e-05,0.0017331398816393,0.0006489552822666,0.0006374664724567,0.0017669617659068,6.480584337294406e-05
9,0.0054587224854007,0.0158954403883176,4.113502419231097e-05,0.0023643129122984,0.0643042031178542,0.0271133978872052,0.0090834565733239,0.6526192249229343,8.582002817733457e-06,0.0002607045473726,0.000144212602455,5.047819634573428e-05,0.0019845580725533,0.0007210343062355,0.0012753970297699,0.0012762355098852,6.955720556133079e-05
10,0.0029248913947751,0.0198977869673728,0.0,0.0021236670384759,0.03475123661733,0.0182759830248619,0.0066402887334651,0.5812645316394425,9.398426064860466e-06,0.000273352371047,0.0002469748201854,0.0001038023639978,0.0010809175120277,0.0006371020445746,0.0017063849434057,0.0014030897136688,6.42935556941841e-05
11,0.0051364388260311,0.0312410662426379,0.0002304256308734,0.0047965349939992,0.1208302348737055,0.0258299287093664,0.0076363381148811,0.594239505005522,6.480095742463991e-06,0.0003165401942504,0.0001324511684512,3.2217606154930835e-05,0.0016262492960163,0.000425969259497,0.0009317091061624,0.0014961559403772,6.76240932983254e-05
12,0.0190976626247349,0.0204924434524073,0.0,0.0042470739175275,0.1356707726239359,0.0231650286751699,0.0103659134122343,0.5566560718833333,1.9462042365796968e-05,0.0003256456285497,6.813482612154426e-05,4.303103559211976e-05,0.0012747981142771,0.0002330796011927,0.0008430492615241,0.0018945237105509,8.999823171804392e-05
13,0.0099741770402836,0.0175882436577961,6.442068780140403e-05,0.0036767107303273,0.0804911217707269,0.01760554496487,0.0066756998857683,0.4277543505492855,1.0552595233443664e-05,0.0003177053822452,0.0001684976801867,0.0001756618717952,0.0013121872496329,0.0002617014122201,0.001024378599813,0.001387344143265,0.0001171457134161
14,0.0109620407010668,0.0249148261575155,3.223489031008235e-05,0.0048417060455541,0.1071998203247786,0.0281182852488791,0.0066920381595687,0.3961276653050369,2.614067156309205e-05,0.0005795844712868,0.0001613107287627,0.0001243168946115,0.0014394281665881,0.000326180222909,0.0010189230111822,0.0012645943162592,0.0001128459007774
15,0.0212675124508677,0.0160211652643508,1.6059190494294116e-05,0.0051831504386959,0.1078846876437538,0.0194656355499352,0.0069090437455483,0.6712055167384733,1.511234482743738e-05,0.0004343592574323,0.000247345585524,0.0001244132917846,0.0017393669385333,0.0005556178961028,0.000888578469734,0.0017315331689432,0.0001129017131802
16,0.0114077929443458,0.0406589876885221,9.288517004195026e-05,0.0049037514094183,0.0698892429417799,0.0148284398129939,0.0044189479103039,0.3818863854471114,8.115584092457406e-06,0.000365254788188,0.0002398804296029,7.128607769044752e-05,0.0010092711455684,0.0002684964454409,0.0005474740750335,0.0013207488071949,0.0001075646886407
17,0.0043677564226438,0.0459005787385081,3.2032944177660976e-05,0.0047415577128241,0.0798049661585854,0.0088185622146268,0.0093792210323816,0.5905578199554555,6.661691790831167e-06,0.0003667244222548,0.0001964682872406,6.552221377791845e-05,0.0010451027150687,0.0004747416560643,0.001727901275383,0.0013649049952172,8.543891115638796e-05
18,0.0083545382608805,0.0252622815691293,0.0,0.0044354102846166,0.0702294498241301,0.0097005619023009,0.0075728981442597,0.4293366248409444,1.915822172256026e-05,0.0004458296940175,0.0003944008018163,0.0001972130060684,0.0015691614355916,0.0006338325222794,0.0026384751943495,0.0011220464408347,8.384215730966016e-05
19,0.0184899246290776,0.0121881214631935,1.2830990487323734e-05,0.0023557936030617,0.1495604094851211,0.0104448664870519,0.00952558369446,0.3303303406328237,2.1195527743635e-05,0.0003042064058905,0.000186470928699,0.0001044712111953,0.0017734208759865,0.00099697992619,0.0018327428572634,0.0013827670271949,8.06655504899374e-05
